Title	URL	Assignees	Priority	Estimate Size	Labels	Milestone	Actual Size
Upload imp-squared board sprint 1	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/4	Battlemech	P0		organizational		
Design Team Logo	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/7	Superschnizel			organizational		
Watch getting started with amos Videos	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/6	dancingsushii, op-hub			organizational		
Ask Chris to provide prioritised list of sources and papers	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/41	dancingsushii			feature		
Set up Team Contract	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/13				organizational		
Define division and team distribution	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/11				organizational		
Upload Snapshot feature board sprint 1	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/2	dancingsushii, op-hub	P0		organizational		
Upload Planning document pdf sprint 1	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/3	dancingsushii, op-hub	P0		organizational		
Request Deutsche Bahn dataset	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/37	Superschnizel	P0	1	backend, bug, feature		
Ingest Data [1]	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/34	Superschnizel	P0	3	backend, feature		
Team Logo and Tshirt	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/5	Superschnizel	P1		organizational		
Create data ingestion pipeline	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/32		P0		backend, feature		
Decide on API endpoints	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/17		P1		backend, feature, frontend		
Implement basic BE CI	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/52		P0		backend, devops, feature		
Design Data Pipeline CLI Application	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/55		P1		backend, feature		
Develop YAML Parser	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/56		P2		backend, feature		
Clarify preferred storage for meeting notes with Prof. Riehle	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/59		P2		organizational		
Create basic map view	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/60		P1		feature, frontend		
Create basic data view	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/61		P1		feature, frontend		
Search bar: Cache and bookmarking	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/62		P2		feature, frontend		
Trigger Data view only on button press	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/66		P2		feature, frontend		
Develop CSV parser	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/57		P1		backend, feature		
Configure Database Connection	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/58		P0		backend, feature		
Ingest data [3]	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/36	nicolasbandel	P0	3	backend, feature		
Documentation - BE technology	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/22	Ahsankkhan, nicolasbandel, Superschnizel	P0	1	backend, feature		
Research on how should data pipeline work	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/40	Ahsankkhan, nicolasbandel, Superschnizel		1	backend, feature		
Clarify open source scope of the project with Prof. Riele	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/31	dancingsushii			organizational		
Upload Snapshot Feature Board Sprint 2	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/63		P0		organizational		
Upload planning document Sprint 2	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/64		P0		organizational		
Upload Imp-Squared board Sprint 2	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/65		P0		organizational		
Create FE Concept	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/18	CelineMP, dancingsushii, Lucas-Nan, op-hub		3	feature, frontend		
Documentation -  CI/CD technology	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/23	Corgam		1	devops, feature		
Get FE container running	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/26	Corgam		2	devops, feature, frontend		
Documentation - Meetings	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/25	dancingsushii, op-hub			organizational		
Get Backend container running	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/27	Corgam	P0	2	backend, devops, feature		
Initialize Github Wiki	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/20	Corgam		1	feature		
Setup deployment pipeline/branches	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/30	Corgam		3	devops, feature		
Research on FE RestAPI requirements	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/16	Lucas-Nan		3	feature, frontend		
Documentation - FE technology	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/21	Lucas-Nan		1	feature, frontend		
Research Github Actions constraints	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/29	Corgam		2	devops, feature		
Setup basic React + NodeJS frontend	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/14	CelineMP		2	feature, frontend		
Automate workflow with github action	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/28	Corgam		3	devops, feature		
Technology Research (Map APIs )	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/15	CelineMP		3	feature, frontend		
Discuss Labels and Milestones	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/19	dancingsushii, op-hub			organizational		
API project docker file	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/54	Ahsankkhan	P0	3	backend, devops, feature		0
Ingest Data [2]	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/35	Ahsankkhan, Superschnizel	P0	3	backend, feature		
Create boilerplate API project	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/38	Ahsankkhan	P0	4	backend, feature		0
