Title	Assignees	Status	Priority	Estimate	Size	Iteration
Stay on topic in Meetings		Done				
Documentation mainly on GitHub Wiki		Done				
Read user story and acceptance during sprint review		Done				
Smaller, atomic issues		Done				
Frontend/Backend team communication		Done				
Avoid pushing decsions to extra meetings		Done				
Small follow-up summary messages after meetings		Done				
Using our new milestones - epics - tickets structure		Done				
Plan mid-term release		In Progress				
Earlier feature preparation for sprint		In Progress				
Code review and code documentation		In Progress				
