Title	URL	Assignees	Priority	Estimate Size	Labels	Milestone	Actual Size	Sprint
Create mid-project release plan	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/90	dancingsushii, op-hub	P0		devops, organizational			Sprint 5
Upload imp-squared board sprint 1	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/4	Battlemech	P0		organizational			Sprint 1
Documentation - BE technology	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/22	Ahsankkhan, nicolasbandel, Superschnizel	P1	1	backend, feature	Data lake	1	Sprint 3
Agree on product vision and mission	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/88	dancingsushii, op-hub	P0		organizational			Sprint 5
Watch a video provided by AMOS team about  well-run team meeting	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/83	dancingsushii, op-hub	P2	1	organizational			Sprint 5
Agree on project-specific definition of done for feature, sprint, and project release	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/89	op-hub	P0		organizational			Sprint 5
Design Team Logo	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/7	Superschnizel	P0		organizational			Sprint 1
Watch getting started with amos Videos	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/6	dancingsushii, op-hub	P1		organizational			Sprint 1
Ask Chris to provide prioritised list of sources and papers	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/41	dancingsushii	P0		feature, organizational			Sprint 2
Set up Team Contract	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/13	dancingsushii, op-hub	P0		organizational			Sprint 1
Define division and team distribution	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/11	dancingsushii, op-hub	P0		organizational			Sprint 1
Upload planning document Sprint 2	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/64	dancingsushii	P0		organizational			Sprint 2
Upload Imp-Squared board Sprint 2	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/65	Battlemech	P0		organizational			Sprint 2
Upload Snapshot Feature Board Sprint 2	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/63	dancingsushii	P0		organizational			Sprint 2
Upload Snapshot feature board sprint 1	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/2	dancingsushii, op-hub	P0		organizational			Sprint 1
Upload Planning document pdf sprint 1	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/3	dancingsushii, op-hub	P0		organizational			Sprint 1
Research on how should data pipeline work	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/40	Ahsankkhan, nicolasbandel, Superschnizel	P0	1	backend, feature	Data lake		Sprint 2
Team Logo and Tshirt	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/5	Superschnizel	P1		organizational			Sprint 1
Allow Default Values in Datadescription Yaml	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/129	Superschnizel		2	backend, feature	Data lake	1	Sprint 5
Change default marker	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/192	Lucas-Nan		1	feature, frontend	UI	1	
Frontend WMS service research and implementation	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/190	Lucas-Nan		2	feature, frontend	UI	3	
Overlay pinned map visualizations	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/191	Lucas-Nan		2	feature, frontend	UI	2	
Integrate phosphor markers	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/188	Lucas-Nan		1	feature, frontend	UI	1	
Add support for satellite image in map	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/119	Lucas-Nan	P1	2	feature, frontend	UI	2	Sprint 5
Switch between satellite view and normal view	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/189	Lucas-Nan		1	feature, frontend	UI	1	
Update GitHub README.md	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/85	dancingsushii	P1		organizational	Data lake		Sprint 9
Research additional datasets	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/166	op-hub	P1		feature, organizational			Sprint 7
Implement clustering mechanism and define endpoint for clustered data	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/240	Ahsankkhan	P0	5	backend, feature, frontend	Data lake	5	Sprint 7
Code documentation	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/219		P3	2	organizational			Sprint 7
Code cleanup	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/220		P3	2	organizational			Sprint 7
